customer_id,recency,frequency,monetary
C0001,112,1,252.55
C0002,3,6,3157.74
C0003,24,10,5297.44
C0004,141,1,15.85
C0005,25,8,4229.73
C0006,112,2,304.16999999999996
C0007,10,8,3375.81
C0008,27,2,80.24000000000001
C0009,8,2,194.57
C0010,38,11,11044.560000000001
C0011,138,2,346.85
C0012,45,15,23836.760000000002
C0013,29,2,354.63
C0014,45,7,9449.69
C0015,32,2,294.07
C0016,21,9,7161.46
C0017,177,1,312.75
C0018,110,1,0.0
C0019,131,2,297.56
C0020,7,18,31297.64
C0021,79,3,783.53
C0022,32,7,7442.31
C0023,16,11,11834.91
C0024,42,6,2587.76
C0025,89,9,10271.78
C0026,86,3,834.35
C0027,13,15,24304.24
C0028,44,2,430.41999999999996
C0029,8,8,4187.72
C0030,16,6,3568.29
C0031,137,2,330.59
C0032,16,12,15783.65
C0033,11,7,4442.81
C0034,51,6,4326.71
C0035,31,8,5099.5599999999995
C0036,90,3,737.74
C0037,5,8,4978.32
C0038,3,10,6264.08
C0039,27,1,101.33
C0040,67,2,214.01
C0041,15,10,16730.36
C0042,32,2,398.09000000000003
C0043,4,6,10113.710000000001
C0044,19,8,4441.3
C0045,50,10,6463.84
C0046,103,3,406.71
C0047,45,8,12700.86
C0048,113,2,317.61
C0049,14,8,4090.44
C0050,24,9,6221.35
C0051,4,2,104.1
C0052,29,17,30876.71
C0053,8,7,7052.95
C0054,5,11,6691.12
C0055,22,11,4986.73
C0056,49,11,4842.62
C0057,6,12,18847.72
C0058,9,19,44446.61
C0059,5,9,18884.57
C0060,168,1,104.19
C0061,12,13,23456.07
C0062,18,11,28933.899999999998
C0063,89,2,99.23
C0064,101,2,404.82
C0065,35,5,3246.87
C0066,24,15,24345.59
C0067,48,1,135.33
C0068,35,13,26590.27
C0069,95,1,342.18
C0070,123,1,97.71
C0071,50,2,448.56
C0072,45,9,9456.28
C0073,88,2,467.84999999999997
C0074,13,3,691.26
C0075,3,3,770.87
C0076,45,7,4514.22
C0077,38,1,397.33
C0078,39,1,241.01
C0079,96,1,4.67
C0080,19,2,55.38
C0081,75,7,3252.3
C0082,59,1,332.89
C0083,19,6,6928.22
C0084,80,2,324.31
C0085,7,12,18994.53
C0086,18,5,2540.13
C0087,89,1,107.39
C0088,5,8,4625.76
C0089,55,1,57.77
C0090,33,2,476.18
C0091,18,8,3855.7
C0092,16,10,3002.0299999999997
C0093,175,1,104.1
C0094,16,8,4185.68
C0095,22,2,432.37
C0096,88,1,203.06
C0097,36,2,219.14
C0098,157,2,464.83
C0099,121,1,369.68
C0100,11,2,173.07
C0101,119,1,125.14
C0102,26,3,893.45
C0103,4,16,34860.93
C0104,3,7,3747.9
C0105,7,2,372.28
C0106,149,1,147.15
C0107,15,10,6824.05
C0108,8,17,36066.89
C0109,88,3,917.97
C0110,7,8,4387.21
C0111,24,6,3425.21
C0112,4,9,5132.62
C0113,89,1,185.53
C0114,20,7,3805.96
C0115,25,9,4354.97
C0116,4,13,26509.42
C0117,7,10,6270.530000000001
C0118,141,2,208.43
C0119,36,1,392.83
C0120,21,8,4275.04
C0121,5,11,7085.0
C0122,94,2,1070.8
C0123,67,14,35892.6
C0124,37,3,1106.66
C0125,27,10,13275.91
C0126,9,13,24512.93
C0127,12,9,17546.7
C0128,9,2,2853.83
C0129,19,12,43010.32
C0130,40,8,16573.92
C0131,18,10,6018.59
C0132,48,9,14500.75
C0133,22,10,5780.400000000001
C0134,36,11,18326.100000000002
C0135,15,5,3195.5299999999997
C0136,52,1,58.87
C0137,91,1,87.92
C0138,10,11,6498.09
C0139,3,15,30209.6
C0140,37,1,393.39
C0141,17,11,14259.92
C0142,6,15,21729.31
C0143,84,2,704.34
C0144,10,1,0.0
C0145,67,6,7731.23
C0146,9,19,39883.41
C0147,31,2,224.94
C0148,9,10,15080.86
C0149,178,1,176.38
C0150,45,8,11264.27
C0151,27,9,5744.33
C0152,20,2,573.79
C0153,39,2,160.52999999999997
C0154,70,1,165.93
C0155,11,9,5163.29
C0156,73,1,233.0
C0157,170,1,163.88
C0158,38,3,855.55
C0159,84,2,313.09000000000003
C0160,9,17,24679.33
C0161,126,5,2806.5
C0162,3,2,103.6
C0163,6,1,62.7
C0164,7,12,52514.03
C0165,38,9,5433.79
C0166,59,1,160.71
C0167,10,11,8410.93
C0168,14,3,478.94
C0169,24,12,17136.72
C0170,78,2,59.45
C0171,29,8,8350.43
C0172,10,14,30669.26
C0173,45,6,2856.3
C0174,45,2,339.63
C0175,123,3,604.3299999999999
C0176,102,1,140.43
C0177,32,8,4929.67
C0178,5,2,192.05
C0179,15,1,138.49
C0180,76,1,159.17
C0181,165,1,93.01
C0182,11,7,4172.23
C0183,172,1,254.61
C0184,69,2,297.09000000000003
C0185,162,1,164.6
C0186,4,1,217.42
C0187,23,13,24153.78
C0188,27,2,234.21
C0189,111,1,220.22
C0190,9,18,40627.36
C0191,24,2,250.33999999999997
C0192,71,6,3566.7
C0193,12,6,8965.24
C0194,4,2,525.03
C0195,5,7,3386.05
C0196,18,9,20015.53
C0197,32,9,14088.749999999998
C0198,17,14,28737.93
C0199,8,17,44242.6
C0200,8,12,32462.73
C0201,7,12,25440.37
C0202,62,7,3876.25
C0203,89,2,571.74
C0204,14,2,213.4
C0205,66,2,519.36
C0206,62,3,678.27
C0207,26,6,4267.03
C0208,162,1,156.81
C0209,42,3,629.93
C0210,19,7,3520.63
C0211,13,13,16304.51
C0212,26,10,6715.83
C0213,25,3,575.22
C0214,30,11,6502.97
C0215,139,1,159.39
C0216,13,9,3522.26
C0217,15,10,15620.4
C0218,15,2,1473.29
C0219,77,2,361.85
C0220,3,8,4679.91
C0221,95,2,679.51
C0222,32,10,5856.3099999999995
C0223,74,2,452.05
C0224,163,2,96.4
C0225,56,2,158.91
C0226,56,9,27185.74
C0227,22,11,5072.21
C0228,21,3,686.95
C0229,6,17,31990.71
C0230,26,3,691.99
C0231,38,3,927.7
C0232,40,5,2403.79
C0233,154,1,42.32
C0234,8,5,3361.05
C0235,10,1,194.95
C0236,62,1,0.0
C0237,42,2,418.71999999999997
C0238,4,14,24392.739999999998
C0239,25,2,107.63
C0240,78,2,48.79
C0241,53,9,5377.969999999999
C0242,39,5,3160.41
C0243,6,6,12612.010000000002
C0244,143,1,94.7
C0245,94,1,102.37
C0246,98,2,129.87
C0247,4,1,92.91
C0248,29,6,3624.1
C0249,8,9,13846.33
C0250,8,6,3465.12
C0251,6,12,21596.86
C0252,50,3,657.39
C0253,120,1,112.34
C0254,108,1,0.0
C0255,15,8,4293.349999999999
C0256,41,2,584.24
C0257,78,3,525.37
C0258,45,9,6891.26
C0259,24,3,847.3
C0260,13,5,2677.73
C0261,108,2,295.06
C0262,87,1,161.3
C0263,180,1,100.84
C0264,37,8,4922.29
C0265,7,12,23160.56
C0266,18,6,4297.81
C0267,149,1,63.56
C0268,63,2,186.07
C0269,19,5,2637.44
C0270,143,1,14.12
C0271,7,9,3735.5099999999998
C0272,50,7,4557.1900000000005
C0273,72,3,822.15
C0274,16,2,301.75
C0275,18,8,7530.59
C0276,3,7,4142.3099999999995
C0277,34,5,7521.87
C0278,18,9,15538.599999999999
C0279,6,2,210.13
C0280,35,2,261.17
C0281,8,14,25190.579999999998
C0282,20,9,14664.919999999998
C0283,77,2,216.83
C0284,74,3,1004.77
C0285,96,2,613.95
C0286,5,10,30059.22
C0287,40,2,112.49
C0288,40,8,3395.72
C0289,49,2,512.26
C0290,152,1,142.34
C0291,4,19,31817.27
C0292,14,9,8836.96
C0293,69,9,11569.26
C0294,20,9,5215.8
C0295,12,8,3463.6800000000003
C0296,67,2,286.88
C0297,10,8,4470.26
C0298,86,3,1486.57
C0299,29,2,237.07
C0300,109,2,125.59
C0301,21,3,663.03
C0302,5,7,5044.6
C0303,4,15,52321.0
C0304,64,8,14672.19
C0305,6,2,620.33
C0306,5,13,39848.810000000005
C0307,25,7,3633.77
C0308,6,14,29973.9
C0309,90,3,847.7900000000001
C0310,20,6,3864.59
C0311,6,12,20026.56
C0312,12,9,5394.01
C0313,43,2,206.91
C0314,8,3,1017.1800000000001
C0315,20,10,4799.73
C0316,120,1,152.45
C0317,5,19,31282.34
C0318,29,13,21068.87
C0319,4,9,12754.289999999999
C0320,164,1,307.93
C0321,48,2,654.39
C0322,4,17,22119.72
C0323,84,1,149.88
C0324,28,5,2398.9700000000003
C0325,135,1,174.62
C0326,51,3,783.77
C0327,117,1,259.39
C0328,34,3,608.54
C0329,90,1,3.39
C0330,81,1,178.67
C0331,151,1,190.69
C0332,20,7,4435.98
C0333,21,7,6802.34
C0334,11,10,5649.6
C0335,9,3,839.77
C0336,17,7,4576.57
C0337,100,1,106.96
C0338,13,5,3332.6800000000003
C0339,39,2,142.74
C0340,83,5,3071.94
C0341,5,1,317.54
C0342,3,8,4056.23
C0343,9,3,527.78
C0344,5,11,12776.099999999999
C0345,6,5,3077.12
C0346,75,1,72.9
C0347,4,19,34482.44
C0348,29,10,5577.8
C0349,34,15,31217.39
C0350,78,1,109.31
C0351,43,6,3464.38
C0352,50,3,722.4300000000001
C0353,8,15,23314.54
C0354,11,10,4411.0
C0355,52,1,99.65
C0356,16,14,32825.05
C0357,110,1,391.27
C0358,7,7,5091.86
C0359,9,6,2963.5
C0360,71,3,753.21
C0361,23,2,378.69000000000005
C0362,29,2,1458.6999999999998
C0363,28,2,602.46
C0364,15,11,6023.84
C0365,25,6,3217.55
C0366,12,9,16651.11
C0367,3,2,211.43
C0368,85,1,61.08
C0369,37,12,23208.81
C0370,20,7,5474.5
C0371,3,13,20225.66
C0372,26,1,27.41
C0373,77,2,324.51
C0374,34,10,4350.39
C0375,24,5,3182.4
C0376,27,7,3445.2799999999997
C0377,26,3,666.9
C0378,62,2,267.81
C0379,23,10,5578.42
C0380,71,2,183.35
C0381,84,2,517.4300000000001
C0382,37,12,16933.6
C0383,10,1,375.9
C0384,27,6,4157.49
C0385,33,1,11.15
C0386,32,10,5624.51
C0387,42,10,6727.03
C0388,13,3,893.75
C0389,26,2,444.52
C0390,25,11,5415.37
C0391,29,2,36.92
C0392,10,10,5766.09
C0393,13,11,10290.49
C0394,119,2,254.45999999999998
C0395,20,8,50766.25
C0396,9,5,10794.76
C0397,57,2,364.9
C0398,27,10,17103.02
C0399,93,1,12.42
C0400,21,6,11685.95
C0401,30,2,643.83
C0402,6,16,26065.68
C0403,7,11,6677.969999999999
C0404,75,3,1846.47
C0405,153,1,193.21
C0406,120,1,153.76
C0407,19,10,4757.0199999999995
C0408,43,1,351.65
C0409,61,5,2813.27
C0410,13,3,484.61
C0411,8,3,613.2
C0412,8,13,22450.02
C0413,88,1,171.53
C0414,14,15,26676.55
C0415,17,2,555.5
C0416,76,1,217.63
C0417,24,14,19336.34
C0418,42,1,117.25
C0419,33,10,5126.35
C0420,21,2,259.88
C0421,3,17,31815.43
C0422,110,1,77.67
C0423,7,16,31015.9
C0424,6,7,4391.98
C0425,76,1,155.72
C0426,19,9,6541.52
C0427,14,13,22527.39
C0428,78,2,250.35000000000002
C0429,91,2,2960.94
C0430,130,1,150.27
C0431,15,18,30860.97
C0432,160,1,195.14
C0433,17,17,29000.1
C0434,182,1,77.81
C0435,36,2,607.01
C0436,127,1,274.72
C0437,21,7,4760.98
C0438,129,1,1175.7
C0439,5,1,338.02
C0440,50,2,171.48000000000002
C0441,71,5,3764.42
C0442,14,2,93.31
C0443,54,1,244.97
C0444,10,18,33635.62
C0445,13,6,3040.65
C0446,28,9,11323.68
C0447,13,10,5141.49
C0448,10,9,5491.27
C0449,42,9,3318.07
C0450,108,2,195.82999999999998
C0451,6,3,613.96
C0452,10,9,15571.72
C0453,7,2,910.32
C0454,33,1,129.16
C0455,31,9,4645.39
C0456,5,15,25018.89
C0457,26,1,143.19
C0458,66,2,479.09000000000003
C0459,96,3,749.8
C0460,38,2,291.23
C0461,30,8,14739.91
C0462,121,1,43.14
C0463,71,5,3607.52
C0464,27,7,5342.08
C0465,13,9,15760.01
C0466,6,8,4124.21
C0467,85,1,224.32
C0468,21,3,616.73
C0469,120,1,68.37
C0470,6,16,31738.93
C0471,23,2,282.39
C0472,158,1,141.47
C0473,30,9,5637.67
C0474,4,2,178.61
C0475,113,2,329.64
C0476,9,10,6274.49
C0477,162,1,115.17
C0478,11,1,167.86
C0479,144,1,320.04
C0480,151,1,104.06
C0481,16,7,6818.589999999999
C0482,105,2,327.05999999999995
C0483,102,2,2982.62
C0484,20,9,5590.01
C0485,44,11,41981.84
C0486,13,2,126.62
C0487,23,9,16124.720000000001
C0488,76,2,404.6
C0489,81,2,85.32
C0490,17,5,2643.31
C0491,14,8,12414.5
C0492,4,6,4148.52
C0493,22,3,1001.5
C0494,179,1,153.88
C0495,139,1,355.66
C0496,7,18,29453.6
C0497,158,2,376.79999999999995
C0498,43,1,351.3
C0499,7,10,7549.04
C0500,77,1,201.91
